Team,Name,Age,G,GS,MP,FG,FGpct,threeP,threePpct,twoP,twoPpct,eFGpct,FT,FTpct,ORB,DRB,AST,STL,BLK,TOV,Pfoul,PTSperG,PG,PF,SG,SF,C,Exp,Salary
TOR,Malcolm Miller,26,28,1,5.8,0.4,0.414,0.3,0.364,0.1,0.571,0.552,0.1,0.375,0.1,0.5,0.4,0.2,0.1,0.1,0.6,1.3,0,0,0,1,0,2,1588231
TOR,Dewan Hernandez,23,6,0,4.7,0.8,0.357,0.2,0.5,0.7,0.333,0.393,0.5,0.6,0.8,1.5,0.5,0.2,0,0.5,1,2.3,0,0,0,0,1,0,898310
BOS,Jayson Tatum,21,66,66,34.3,8.4,0.45,2.9,0.403,5.5,0.48,0.527,3.8,0.812,1,6,3,1.4,0.9,2.3,2.1,23.4,0,1,0,0,0,2,7830000
BOS,Jaylen Brown,23,57,57,33.9,7.5,0.481,2.3,0.382,5.2,0.543,0.554,3.1,0.724,1.1,5.3,2.1,1.1,0.4,2.2,2.9,20.3,0,0,1,0,0,3,6534829
BOS,Gordon Hayward,29,52,52,33.5,6.7,0.5,1.6,0.383,5.1,0.554,0.561,2.4,0.855,1.1,5.6,4.1,0.7,0.4,1.8,1.8,17.5,0,0,0,1,0,9,32700690
BOS,Marcus Smart,25,60,40,32,4.3,0.375,2.3,0.347,2,0.415,0.476,2.1,0.836,0.7,3.1,4.9,1.7,0.5,1.7,2.7,12.9,0,0,1,0,0,5,12553471
BOS,Kemba Walker,29,56,56,31.1,6.8,0.425,3.2,0.381,3.5,0.476,0.526,3.7,0.864,0.6,3.2,4.8,0.9,0.5,2.1,1.6,20.4,1,0,0,0,0,8,32742000
BOS,Daniel Theis,27,65,64,24.1,3.7,0.566,0.5,0.333,3.2,0.633,0.603,1.3,0.763,2.2,4.4,1.7,0.6,1.3,0.8,3.4,9.2,0,0,0,0,1,2,5000000
BOS,Brad Wanamaker,30,71,1,19.3,2.3,0.448,0.5,0.363,1.8,0.481,0.499,1.8,0.926,0.3,1.7,2.5,0.9,0.2,1.1,1.9,6.9,1,0,0,0,0,1,1445697
BOS,Enes Kanter,27,58,7,16.9,3.4,0.572,0,0.143,3.4,0.581,0.573,1.2,0.707,2.8,4.6,1,0.4,0.7,1,1.7,8.1,0,0,0,0,1,8,4767000
BOS,Grant Williams,21,69,5,15.1,1.3,0.412,0.3,0.25,0.9,0.548,0.469,0.6,0.722,0.9,1.7,1,0.4,0.5,0.7,2.4,3.4,0,1,0,0,0,0,2379840
BOS,Semi Ojeleye,25,69,6,14.7,1.2,0.408,0.7,0.378,0.5,0.464,0.531,0.4,0.875,0.4,1.7,0.5,0.3,0.1,0.3,1.2,3.4,0,1,0,0,0,2,1618520
BOS,Robert Williams,22,29,1,13.4,2.2,0.727,0,,2.2,0.727,0.727,0.8,0.647,1.4,3,0.9,0.8,1.2,0.7,1.8,5.2,0,0,0,0,1,1,1937520
BOS,Romeo Langford,20,32,2,11.6,0.9,0.35,0.2,0.185,0.7,0.434,0.381,0.6,0.72,0.5,0.8,0.4,0.3,0.3,0.3,1,2.5,0,0,1,0,0,0,3458400
BOS,Javonte Green,26,48,2,9.8,1.3,0.5,0.2,0.273,1.1,0.581,0.536,0.6,0.667,0.5,1.4,0.5,0.5,0.2,0.5,0.9,3.4,0,0,1,0,0,0,898310
BOS,Carsen Edwards,21,37,0,9.5,1.1,0.328,0.6,0.316,0.5,0.346,0.422,0.4,0.684,0.2,1.1,0.6,0.3,0.1,0.4,0.9,3.3,0,0,1,0,0,0,1228026
BOS,Vincent Poirier,26,22,0,5.9,0.8,0.472,0,0.5,0.7,0.471,0.486,0.3,0.857,0.6,1.4,0.4,0.1,0.4,0.4,1.1,1.9,0,0,0,0,1,0,2505793
IND,Domantas Sabonis,23,62,62,34.8,7.4,0.54,0.3,0.254,7.1,0.565,0.55,3.5,0.723,3,9.4,5,0.8,0.5,2.7,3.1,18.5,0,1,0,0,0,3,3529555
IND,T.J. Warren,26,67,67,32.9,8,0.536,1.4,0.403,6.6,0.575,0.581,2.5,0.819,1,3.2,1.5,1.2,0.5,1.3,2.8,19.8,0,0,0,1,0,5,10810000
